Series Name,Series Code,Year,Country,Value
"Bank branches per 100,000 adults",GFDD.AI.02,2020,"Hong Kong SAR, China",20.235804
"Bank return on assets (%, after tax)",GFDD.EI.05,2020,"Hong Kong SAR, China",0.7634155
"Bank return on equity (%, after tax)",GFDD.EI.06,2020,"Hong Kong SAR, China",7.740235
"Bank return on assets (%, before tax)",GFDD.EI.09,2020,"Hong Kong SAR, China",0.9031647
"Bank return on equity (%, before tax)",GFDD.EI.10,2020,"Hong Kong SAR, China",9.040534
Bank capital to total assets (%),GFDD.SI.03,2020,Singapore,..
Bank credit to bank deposits (%),GFDD.SI.04,2020,Singapore,94.00211
Bank non-performing loans to gross loans (%),GFDD.SI.02,2020,Singapore,..
Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,2020,Singapore,..
Bank Z-score,GFDD.SI.01,2020,Singapore,28.14932
Liquid assets to deposits and short term funding (%),GFDD.SI.06,2020,Singapore,30.87239
Provisions to nonperforming loans (%),GFDD.SI.07,2020,Singapore,..
"Bank branches per 100,000 adults",GFDD.AI.02,2020,Singapore,7.0191116
"Bank return on assets (%, after tax)",GFDD.EI.05,2020,Singapore,0.6994444
"Bank return on equity (%, after tax)",GFDD.EI.06,2020,Singapore,7.556261
"Bank return on assets (%, before tax)",GFDD.EI.09,2020,Singapore,0.7793937
"Bank return on equity (%, before tax)",GFDD.EI.10,2020,Singapore,8.419971
